Unnamed: 0,ProductNumber,BrandName,BrandTitle,URL,AverageRating,Review,Sentiment_result
0,Product 3,No Brand,Car Wireless Bluetooth Receiver Adapter 35Mm Aux Audio Stereo Music Home Hands Free Car Kit Device,https://www.daraz.pk/products/car-wireless-bluetooth-receiver-adapter-35mm-aux-audio-stereo-music-home-hands-free-car-kit-device-i206846028-s1411554710.html?search=1,4.5,Nice Product Connection and Sound transmission is considerable and battery timing is efficient go for it thanks 👍,Positive
1,Product 3,No Brand,Car Wireless Bluetooth Receiver Adapter 35Mm Aux Audio Stereo Music Home Hands Free Car Kit Device,https://www.daraz.pk/products/car-wireless-bluetooth-receiver-adapter-35mm-aux-audio-stereo-music-home-hands-free-car-kit-device-i206846028-s1411554710.html?search=1,4.5,very good thing good seller bohat achi kam Kar Rahi h head phone bhi chal Raha h,Positive
2,Product 3,No Brand,Car Wireless Bluetooth Receiver Adapter 35Mm Aux Audio Stereo Music Home Hands Free Car Kit Device,https://www.daraz.pk/products/car-wireless-bluetooth-receiver-adapter-35mm-aux-audio-stereo-music-home-hands-free-car-kit-device-i206846028-s1411554710.html?search=1,4.5,thanks a lot Follow my store for other quality products at reasonable price,Positive
3,Product 3,No Brand,Car Wireless Bluetooth Receiver Adapter 35Mm Aux Audio Stereo Music Home Hands Free Car Kit Device,https://www.daraz.pk/products/car-wireless-bluetooth-receiver-adapter-35mm-aux-audio-stereo-music-home-hands-free-car-kit-device-i206846028-s1411554710.html?search=1,4.5,very nice product for the money working fine sound quality even better when I use aux on phone,Positive
4,Product 3,No Brand,Car Wireless Bluetooth Receiver Adapter 35Mm Aux Audio Stereo Music Home Hands Free Car Kit Device,https://www.daraz.pk/products/car-wireless-bluetooth-receiver-adapter-35mm-aux-audio-stereo-music-home-hands-free-car-kit-device-i206846028-s1411554710.html?search=1,4.5,packing ws good delivery before expected time get all accessories charging cable aux pin and Bluetooth device sounds is good no issue in connectivity thanks seller and draz for this product,Positive
5,Product 3,No Brand,Car Wireless Bluetooth Receiver Adapter 35Mm Aux Audio Stereo Music Home Hands Free Car Kit Device,https://www.daraz.pk/products/car-wireless-bluetooth-receiver-adapter-35mm-aux-audio-stereo-music-home-hands-free-car-kit-device-i206846028-s1411554710.html?search=1,4.5,thanks a lot for your feedback follow our store for more discounted products,Positive
6,Product 3,No Brand,Car Wireless Bluetooth Receiver Adapter 35Mm Aux Audio Stereo Music Home Hands Free Car Kit Device,https://www.daraz.pk/products/car-wireless-bluetooth-receiver-adapter-35mm-aux-audio-stereo-music-home-hands-free-car-kit-device-i206846028-s1411554710.html?search=1,4.5,I bought this Bluetooth device for my car  m really satisfied with quality of product seller was also good  this device works really well in my car  thank you daraz 👍,Positive
7,Product 4,No Brand,Car Bluetooth Wireless Music Receiver & Adapter 35mm Aux Best - Quality (Black) - Car Wireless Bluetooth Receiver Adapter 35Mm Aux Audio Stereo Music Home Hands Free Car Kit Device,https://www.daraz.pk/products/car-bluetooth-wireless-music-receiver-adapter-35mm-aux-best-quality-black-car-wireless-bluetooth-receiver-adapter-35mm-aux-audio-stereo-music-home-hands-free-car-kit-device-i223223914-s1440403253.html?search=1,4.3,Its a good product by seller exact quality as said and works excellent in car or with speakers recommended to buy from this seller,Positive
8,Product 4,No Brand,Car Bluetooth Wireless Music Receiver & Adapter 35mm Aux Best - Quality (Black) - Car Wireless Bluetooth Receiver Adapter 35Mm Aux Audio Stereo Music Home Hands Free Car Kit Device,https://www.daraz.pk/products/car-bluetooth-wireless-music-receiver-adapter-35mm-aux-best-quality-black-car-wireless-bluetooth-receiver-adapter-35mm-aux-audio-stereo-music-home-hands-free-car-kit-device-i223223914-s1440403253.html?search=1,4.3,Best Quality,Positive
9,Product 4,No Brand,Car Bluetooth Wireless Music Receiver & Adapter 35mm Aux Best - Quality (Black) - Car Wireless Bluetooth Receiver Adapter 35Mm Aux Audio Stereo Music Home Hands Free Car Kit Device,https://www.daraz.pk/products/car-bluetooth-wireless-music-receiver-adapter-35mm-aux-best-quality-black-car-wireless-bluetooth-receiver-adapter-35mm-aux-audio-stereo-music-home-hands-free-car-kit-device-i223223914-s1440403253.html?search=1,4.3,low in quality but according to the price it is ok,Positive
